C0279,thakkar_E7229_2022Jul18,,,,
C0281,thakkar_E7324_2022Aug18,,,,
A0142,thakkar_E7366_2022Aug31,,,,
A0124,thakkar_E7367_2022Aug31,,,,
C0273,thakkar_E7369_2022Sep01,,,,
A0017,thakkar_E8228_2023Jun01,,,,
A0173,thakkar_E7377_2022Sep07,,,,
A0199,thakkar_E7396_2022Sep15,,,,
A0277,thakkar_E7436_2022Sep28,,,,
A0246,thakkar_E7437_2022Sep28,,,,
A0053,thakkar_E7438_2022Sep29,,,,
A0012,thakkar_E7440_2022Sep29,,,,
A0001,thakkar_E7459_2022Oct05,,,,
A0208,thakkar_E8247_2023Jun14,,,,
C0103,thakkar_E7470_2022Oct07,,,,
A0232,thakkar_E7482_2022Oct13,,,,
C0082,thakkar_E7502_2022Oct19,,,,
A0097,thakkar_E7503_2022Oct19,,,,
A0223,thakkar_E7527_2022Oct25,,,,
A0007,thakkar_E7555_2022Nov03,,,,
C0296,thakkar_E7597_2022Nov11,,,,
C0299,thakkar_E7614_2022Nov16,,,,
A0301,thakkar_E7616_2022Nov17,,,,
C0309,thakkar_E7666_2022Dec02,,,,
C0317,thakkar_E7683_2022Dec06,,,,
A0305,thakkar_E7684_2022Dec07,,,,
A0310,thakkar_E7687_2022Dec08,,,,
C0304,thakkar_E7703_2022Dec12,,,,
A0197,thakkar_E7708_2022Dec13,,,,
C0325,thakkar_E7718_2022Dec16,,,,
C0034,thakkar_E7784_2023Jan05,,,,
A0026,thakkar_E7805_2023Jan10,,,,
C0327,thakkar_E7806_2023Jan11,,,,
A0308,thakkar_E7825_2023Jan17,,,,
C0029,thakkar_E7827_2023Jan19,,,,
A0314,thakkar_E7828_2023Jan19,,,,
A0047,thakkar_E7843_2023Feb03,,,,
C0104,thakkar_E7858_2023Feb02,,,,
C0322,thakkar_E7870_2023Feb03,,,,
A0329,thakkar_E7907_2023Feb16,,,,
C0347,thakkar_E7920_2023Feb20,,,,
C0349,thakkar_E7937_2023Mar01,,,,
A0117,thakkar_E7961_2023Mar06,,,,
A0352,thakkar_E7977_2023Mar09,,,,
C0359,thakkar_E7995_2023Mar15,,,,
A0344,thakkar_E7997_2023Mar15,,,,
C0360,thakkar_E7999_2023Mar16,,,,
C0362,thakkar_E8030_2023Mar23,,,,
C0364,thakkar_E8058_2023Apr03,,,,
A0306,thakkar_E8062_2023Apr06,,,,
C0366,thakkar_E8089_2023Apr11,,,,
C0031,thakkar_E8112_2023Apr17,,,,
C0372,thakkar_E8115_2023Apr18,,,,
C0286,thakkar_E8141_2023Apr26,,,,
C0376,thakkar_E8159_2023May01,,,,
C0153,thakkar_E8168_2023May03,,,,
A0371,thakkar_E8184_2023May08,,,,
C0346,thakkar_E8199_2023May11,,,,
C0380,thakkar_E8211_2023May16,,,,
C0365,thakkar_E8212_2023May17,,,,
A0377,thakkar_E8218_2023May19,,,,
C0382,thakkar_E8225_2023May24,,,,
C0383,thakkar_E8227_2023May30,,,,
C0338,thakkar_E8244_2023Jun10,,,,
A0381,thakkar_E8245_2023Jun10,,,,
A0390,thakkar_E8246_2023Jun13,,,,
C0102,thakkar_E8248_2023Jun15,,,,
A0385,thakkar_E8249_2023Jun16,,,,
A0019,thakkar_E8250_2023Jun19,,,,
A0393,thakkar_E8252_2023Jun19,,,,
